alg,x,y 
Lagrange,66.000000,14.341969 
Lagrange,67.000000,18.250570 
Lagrange,68.000000,-7.723252 
Lagrange,69.000000,-77.160285 
Lagrange,70.000000,-172.882606 
Lagrange,71.000000,-209.153381 
Lagrange,72.000000,-1.252169 
Lagrange,73.000000,697.373462 
Lagrange,74.000000,1950.344933 
Lagrange,75.000000,2900.762949 
Lagrange,76.000000,6.218820 
GSL,0.000000,-12.161152 
GSL,1.000000,-4351.226266 
GSL,2.000000,-2974.797215 
GSL,3.000000,-1089.814603 
GSL,4.000000,-13.669365 
GSL,5.000000,315.075086 
GSL,6.000000,257.356761 
GSL,7.000000,97.932249 
GSL,8.000000,-23.301186 
GSL,9.000000,-73.260107 
GSL,10.000000,-70.699462 
GSL,11.000000,-46.304111 
GSL,12.000000,-22.842599 
GSL,13.000000,-10.206711 
GSL,14.000000,-8.293747 
GSL,15.000000,-12.222757 
GSL,16.000000,-16.726500 
GSL,17.000000,-18.555607 
GSL,18.000000,-16.999905 
GSL,19.000000,-13.208301 
GSL,20.000000,-9.070016 
GSL,21.000000,-6.229197 
GSL,22.000000,-5.524381 
GSL,23.000000,-6.893111 
GSL,24.000000,-9.618185 
GSL,25.000000,-12.726369 
GSL,26.000000,-15.364059 
GSL,27.000000,-17.035518 
GSL,28.000000,-17.665076 
GSL,29.000000,-17.509640 
GSL,30.000000,-16.987244 
GSL,31.000000,-16.497221 
GSL,32.000000,-16.292706 
GSL,33.000000,-16.436401 
GSL,34.000000,-16.837512 
GSL,35.000000,-17.341304 
GSL,36.000000,-17.829431 
GSL,37.000000,-18.290811 
GSL,38.000000,-18.837098 
GSL,39.000000,-19.658184 
GSL,40.000000,-20.934870 
GSL,41.000000,-22.741211 
GSL,42.000000,-24.973802 
GSL,43.000000,-27.337797 
GSL,44.000000,-29.401962 
GSL,45.000000,-30.712290 
GSL,46.000000,-30.932453 
GSL,47.000000,-29.966267 
GSL,48.000000,-28.017515 
GSL,49.000000,-25.557539 
GSL,50.000000,-23.198455 
GSL,51.000000,-21.502849 
GSL,52.000000,-20.789362 
GSL,53.000000,-21.006838 
GSL,54.000000,-21.738902 
GSL,55.000000,-22.363067 
GSL,56.000000,-22.329130 
GSL,57.000000,-21.456592 
GSL,58.000000,-20.104888 
GSL,59.000000,-19.072702 
GSL,60.000000,-19.158694 
GSL,61.000000,-20.473469 
GSL,62.000000,-21.806948 
GSL,63.000000,-20.554217 
GSL,64.000000,-13.758860 
GSL,65.000000,-0.571148 
GSL,66.000000,14.341818 
GSL,67.000000,18.250402 
GSL,68.000000,-7.723453 
GSL,69.000000,-77.160536 
GSL,70.000000,-172.882913 
GSL,71.000000,-209.153762 
GSL,72.000000,-1.252617 
GSL,73.000000,697.372894 
GSL,74.000000,1950.344303 
GSL,75.000000,2900.762201 
GSL,76.000000,6.217821 
Akima,0.000000,-12.161152 
Akima,1.000000,-11.797177 
Akima,2.000000,-11.954633 
Akima,3.000000,-12.592402 
Akima,4.000000,-13.669365 
Akima,5.000000,-15.723264 
Akima,6.000000,-18.666228 
Akima,7.000000,-21.518716 
Akima,8.000000,-23.301186 
Akima,9.000000,-23.999134 
Akima,10.000000,-24.203218 
Akima,11.000000,-23.841639 
Akima,12.000000,-22.842599 
Akima,13.000000,-21.448411 
Akima,14.000000,-19.956794 
Akima,15.000000,-18.379055 
Akima,16.000000,-16.726500 
Akima,17.000000,-14.875049 
Akima,18.000000,-12.837449 
Akima,19.000000,-10.830254 
Akima,20.000000,-9.070016 
Akima,21.000000,-8.086260 
Akima,22.000000,-8.056922 
Akima,23.000000,-8.671173 
Akima,24.000000,-9.618185 
Akima,25.000000,-11.384433 
Akima,26.000000,-13.988970 
Akima,27.000000,-16.419838 
Akima,28.000000,-17.665076 
Akima,29.000000,-17.575323 
Akima,30.000000,-16.996267 
Akima,31.000000,-16.408523 
Akima,32.000000,-16.292706 
Akima,33.000000,-16.592618 
Akima,34.000000,-16.940182 
Akima,35.000000,-17.348189 
Akima,36.000000,-17.829431 
Akima,37.000000,-18.428260 
Akima,38.000000,-19.162971 
Akima,39.000000,-20.007272 
Akima,40.000000,-20.934870 
Akima,41.000000,-22.622192 
Akima,42.000000,-25.179504 
Akima,43.000000,-27.731272 
Akima,44.000000,-29.401962 
Akima,45.000000,-29.923269 
Akima,46.000000,-29.738435 
Akima,47.000000,-29.039253 
Akima,48.000000,-28.017515 
Akima,49.000000,-26.369880 
Akima,50.000000,-24.140564 
Akima,51.000000,-22.042685 
Akima,52.000000,-20.789362 
Akima,53.000000,-20.800053 
Akima,54.000000,-21.539524 
Akima,55.000000,-22.288855 
Akima,56.000000,-22.329130 
Akima,57.000000,-21.762877 
Akima,58.000000,-21.108812 
Akima,59.000000,-20.272297 
Akima,60.000000,-19.158694 
Akima,61.000000,-17.870934 
Akima,62.000000,-16.558375 
Akima,63.000000,-15.196017 
Akima,64.000000,-13.758860 
Akima,65.000000,-12.272546 
Akima,66.000000,-10.775294 
Akima,67.000000,-9.260973 
Akima,68.000000,-7.723453 
Akima,69.000000,-6.157393 
Akima,70.000000,-4.559221 
Akima,71.000000,-2.925456 
Akima,72.000000,-1.252617 
Akima,73.000000,0.493648 
Akima,74.000000,2.333090 
Akima,75.000000,4.247288 
Akima,76.000000,6.217821 
Spline,0.000000,-12.161152 
Spline,1.000000,-11.880123 
Spline,2.000000,-11.862327 
Spline,3.000000,-12.370997 
Spline,4.000000,-13.669365 
Spline,5.000000,-15.884363 
Spline,6.000000,-18.597717 
Spline,7.000000,-21.254850 
Spline,8.000000,-23.301186 
Spline,9.000000,-24.315829 
Spline,10.000000,-24.412607 
Spline,11.000000,-23.839027 
Spline,12.000000,-22.842599 
Spline,13.000000,-21.626265 
Spline,14.000000,-20.214719 
Spline,15.000000,-18.588088 
Spline,16.000000,-16.726500 
Spline,17.000000,-14.649723 
Spline,18.000000,-12.536077 
Spline,19.000000,-10.603522 
Spline,20.000000,-9.070016 
Spline,21.000000,-8.127465 
Spline,22.000000,-7.863555 
Spline,23.000000,-8.339918 
Spline,24.000000,-9.618185 
Spline,25.000000,-11.661273 
Spline,26.000000,-14.037229 
Spline,27.000000,-16.215386 
Spline,28.000000,-17.665076 
Spline,29.000000,-18.023238 
Spline,30.000000,-17.597244 
Spline,31.000000,-16.862073 
Spline,32.000000,-16.292706 
Spline,33.000000,-16.249380 
Spline,34.000000,-16.633370 
Spline,35.000000,-17.231209 
Spline,36.000000,-17.829431 
Spline,37.000000,-18.292350 
Spline,38.000000,-18.795412 
Spline,39.000000,-19.591843 
Spline,40.000000,-20.934870 
Spline,41.000000,-22.961538 
Spline,42.000000,-25.344178 
Spline,43.000000,-27.638936 
Spline,44.000000,-29.401962 
Spline,45.000000,-30.279370 
Spline,46.000000,-30.277136 
Spline,47.000000,-29.491204 
Spline,48.000000,-28.017515 
Spline,49.000000,-26.008657 
Spline,50.000000,-23.843802 
Spline,51.000000,-21.958765 
Spline,52.000000,-20.789362 
Spline,53.000000,-20.620547 
Spline,54.000000,-21.133814 
Spline,55.000000,-21.859798 
Spline,56.000000,-22.329130 
Spline,57.000000,-22.180351 
Spline,58.000000,-21.483632 
Spline,59.000000,-20.417053 
Spline,60.000000,-19.158694 
Spline,61.000000,-17.855225 
Spline,62.000000,-16.527680 
Spline,63.000000,-15.165683 
Spline,64.000000,-13.758860 
Spline,65.000000,-12.300705 
Spline,66.000000,-10.800191 
Spline,67.000000,-9.270159 
Spline,68.000000,-7.723453 
Spline,69.000000,-6.167069 
Spline,70.000000,-4.584622 
Spline,71.000000,-2.953881 
Spline,72.000000,-1.252617 
Spline,73.000000,0.533832 
Spline,74.000000,2.389848 
Spline,75.000000,4.292240 
Spline,76.000000,6.217821 
