n,alg,time
100,alg1,0.014587
100,alg2,0.013375
100,blas,0.000089
100,alg1,0.011993
100,alg2,0.011067
100,blas,0.000074
100,alg1,0.010364
100,alg2,0.009652
100,blas,0.000052
100,alg1,0.009577
100,alg2,0.008818
100,blas,0.000053
100,alg1,0.008407
100,alg2,0.008317
100,blas,0.000047
100,alg1,0.007948
100,alg2,0.007683
100,blas,0.000043
100,alg1,0.007578
100,alg2,0.007289
100,blas,0.000042
100,alg1,0.007021
100,alg2,0.007036
100,blas,0.000039
100,alg1,0.006696
100,alg2,0.006695
100,blas,0.000038
100,alg1,0.006389
100,alg2,0.006455
100,blas,0.000036
150,alg1,0.050189
150,alg2,0.027552
150,blas,0.000140
150,alg1,0.023607
150,alg2,0.021061
150,blas,0.000104
150,alg1,0.020439
150,alg2,0.019248
150,blas,0.000100
150,alg1,0.019421
150,alg2,0.019286
150,blas,0.000100
150,alg1,0.020198
150,alg2,0.019276
150,blas,0.000101
150,alg1,0.019321
150,alg2,0.019538
150,blas,0.000111
150,alg1,0.019809
150,alg2,0.018634
150,blas,0.000113
150,alg1,0.019209
150,alg2,0.018723
150,blas,0.000111
150,alg1,0.018777
150,alg2,0.018399
150,blas,0.000111
150,alg1,0.026901
150,alg2,0.040263
150,blas,0.000162
200,alg1,0.066738
200,alg2,0.046791
200,blas,0.000198
200,alg1,0.049197
200,alg2,0.043634
200,blas,0.000179
200,alg1,0.048447
200,alg2,0.044144
200,blas,0.000196
200,alg1,0.050912
200,alg2,0.045368
200,blas,0.000185
200,alg1,0.049828
200,alg2,0.047639
200,blas,0.000147
200,alg1,0.048200
200,alg2,0.044172
200,blas,0.000149
200,alg1,0.048438
200,alg2,0.046299
200,blas,0.000143
200,alg1,0.048958
200,alg2,0.045916
200,blas,0.000152
200,alg1,0.051211
200,alg2,0.044773
200,blas,0.000148
200,alg1,0.047767
200,alg2,0.043749
200,blas,0.000168
250,alg1,0.100942
250,alg2,0.085695
250,blas,0.000334
250,alg1,0.098401
250,alg2,0.085378
250,blas,0.000317
250,alg1,0.098024
250,alg2,0.084616
250,blas,0.000319
250,alg1,0.097370
250,alg2,0.085273
250,blas,0.000320
250,alg1,0.097646
250,alg2,0.084565
250,blas,0.000329
250,alg1,0.098793
250,alg2,0.084822
250,blas,0.000344
250,alg1,0.100011
250,alg2,0.085366
250,blas,0.000322
250,alg1,0.130256
250,alg2,0.098234
250,blas,0.000352
250,alg1,0.096872
250,alg2,0.085891
250,blas,0.000317
250,alg1,0.096508
250,alg2,0.085731
250,blas,0.000422
300,alg1,0.184841
300,alg2,0.146958
300,blas,0.000472
300,alg1,0.170787
300,alg2,0.148015
300,blas,0.000450
300,alg1,0.172054
300,alg2,0.148308
300,blas,0.000445
300,alg1,0.176512
300,alg2,0.146777
300,blas,0.000442
300,alg1,0.169214
300,alg2,0.147672
300,blas,0.000440
300,alg1,0.175157
300,alg2,0.149396
300,blas,0.000444
300,alg1,0.178474
300,alg2,0.146895
300,blas,0.000341
300,alg1,0.176076
300,alg2,0.151440
300,blas,0.000385
300,alg1,0.170260
300,alg2,0.148412
300,blas,0.000444
300,alg1,0.169797
300,alg2,0.147724
300,blas,0.000493
350,alg1,0.314046
350,alg2,0.234250
350,blas,0.000571
350,alg1,0.303450
350,alg2,0.230449
350,blas,0.000573
350,alg1,0.308103
350,alg2,0.235380
350,blas,0.000564
350,alg1,0.302636
350,alg2,0.235812
350,blas,0.000651
350,alg1,0.305082
350,alg2,0.232434
350,blas,0.000660
350,alg1,0.307669
350,alg2,0.234115
350,blas,0.000655
350,alg1,0.306723
350,alg2,0.237205
350,blas,0.000560
350,alg1,0.305186
350,alg2,0.233065
350,blas,0.000663
350,alg1,0.305111
350,alg2,0.241428
350,blas,0.000577
350,alg1,0.312489
350,alg2,0.240513
350,blas,0.000574
400,alg1,0.582487
400,alg2,0.354697
400,blas,0.000670
400,alg1,0.516642
400,alg2,0.381748
400,blas,0.000642
400,alg1,0.446148
400,alg2,0.350757
400,blas,0.000681
400,alg1,0.438096
400,alg2,0.350599
400,blas,0.000657
400,alg1,0.484302
400,alg2,0.355855
400,blas,0.000678
400,alg1,0.443661
400,alg2,0.354494
400,blas,0.000640
400,alg1,0.442802
400,alg2,0.352674
400,blas,0.000675
400,alg1,0.437425
400,alg2,0.349323
400,blas,0.000688
400,alg1,0.440801
400,alg2,0.354967
400,blas,0.000680
400,alg1,0.434839
400,alg2,0.345792
400,blas,0.000689
450,alg1,0.721569
450,alg2,0.506104
450,blas,0.000951
450,alg1,0.742908
450,alg2,0.497458
450,blas,0.000927
450,alg1,0.715521
450,alg2,0.490420
450,blas,0.000943
450,alg1,0.703129
450,alg2,0.496620
450,blas,0.000933
450,alg1,0.730322
450,alg2,0.503921
450,blas,0.000968
450,alg1,0.711201
450,alg2,0.494008
450,blas,0.000926
450,alg1,0.713894
450,alg2,0.494400
450,blas,0.000901
450,alg1,0.705997
450,alg2,0.500798
450,blas,0.000935
450,alg1,0.729765
450,alg2,0.509782
450,blas,0.000931
450,alg1,0.706137
450,alg2,0.492559
450,blas,0.000921
500,alg1,1.004067
500,alg2,0.692014
500,blas,0.001345
500,alg1,0.955357
500,alg2,0.691686
500,blas,0.001514
500,alg1,0.986795
500,alg2,0.692629
500,blas,0.001359
500,alg1,0.982547
500,alg2,0.687555
500,blas,0.001430
500,alg1,0.974242
500,alg2,0.689494
500,blas,0.001367
500,alg1,0.970655
500,alg2,0.699428
500,blas,0.001360
500,alg1,0.978074
500,alg2,0.697732
500,blas,0.001320
500,alg1,0.952933
500,alg2,0.687238
500,blas,0.001417
500,alg1,0.975879
500,alg2,0.697123
500,blas,0.001355
500,alg1,0.949907
500,alg2,0.685809
500,blas,0.001441
550,alg1,1.417913
550,alg2,0.911823
550,blas,0.001832
550,alg1,1.387098
550,alg2,0.911548
550,blas,0.001974
550,alg1,1.385732
550,alg2,0.924929
550,blas,0.001894
550,alg1,1.371957
550,alg2,0.937806
550,blas,0.001868
550,alg1,1.535569
550,alg2,1.009062
550,blas,0.002292
550,alg1,1.621918
550,alg2,0.914096
550,blas,0.002376
550,alg1,1.370423
550,alg2,0.909618
550,blas,0.001940
550,alg1,1.381273
550,alg2,0.909068
550,blas,0.001872
550,alg1,1.367821
550,alg2,0.934065
550,blas,0.001907
550,alg1,1.360607
550,alg2,0.946740
550,blas,0.002718
600,alg1,2.503495
600,alg2,1.343626
600,blas,0.002878
600,alg1,2.366091
600,alg2,1.264570
600,blas,0.002869
600,alg1,2.301051
600,alg2,1.215625
600,blas,0.002519
600,alg1,2.163431
600,alg2,1.187445
600,blas,0.002445
600,alg1,2.087981
600,alg2,1.188765
600,blas,0.002502
600,alg1,2.079579
600,alg2,1.199710
600,blas,0.002791
600,alg1,2.160297
600,alg2,1.181315
600,blas,0.002552
600,alg1,2.124738
600,alg2,1.181354
600,blas,0.002620
600,alg1,2.193779
600,alg2,1.189043
600,blas,0.002710
600,alg1,2.067687
600,alg2,1.196428
600,blas,0.002453
650,alg1,2.881209
650,alg2,1.505697
650,blas,0.001850
650,alg1,2.986312
650,alg2,1.511867
650,blas,0.002061
650,alg1,2.880038
650,alg2,1.513352
650,blas,0.001872
650,alg1,2.829123
650,alg2,1.510488
650,blas,0.001921
650,alg1,2.851098
650,alg2,1.516418
